work_order_id_clean,work_order_id,asset_id,maintenance_date,maintenance_type,description,priority,status,contractor,labour_hours,material_cost,labour_cost,total_cost,completion_date,asset_id_clean,maintenance_type_clean,priority_clean,status_clean,contractor_clean,maintenance_date_parsed,completion_date_parsed,labour_hours_numeric,material_cost_numeric,labour_cost_numeric,total_cost_numeric,is_duplicate_work_order_id,validation_failures_raw,validation_failures,validation_failure_count,exception_reason
WO-00057,WO-00057,WA-0063,2025-05-10,Inspection,Preventive Maintenance completed for asset WA-0063,Medium,Completed,Rotorua Water Works,6.2,3487.05,792.44,4279.49,2025-05-24,WA-0063,Inspection,Medium,Completed,Rotorua Water Works,2025-05-10,2025-05-24,6.2,3487.05,792.44,4279.49,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00061,WO-00061,WA-0030,2022-03-28,Pipe Replacement,Inspection completed for asset WA-0030,Medium,Completed,Bay Utility Services,1.6,1816.5,208.43,2024.93,2022-03-29,WA-0030,Pipe Replacement,Medium,Completed,Bay Utility Services,2022-03-28,2022-03-29,1.6,1816.5,208.43,2024.93,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00073,WO-00073,WA-0019,2024-05-03,Leak Repair,Pump Service completed for asset WA-0019,Low,Completed,Arawa Civil,8.6,97.51,749.35,846.86,2024-05-21,WA-0019,Leak Repair,Low,Completed,Arawa Civil,2024-05-03,2024-05-21,8.6,97.51,749.35,846.86,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00078,WO-00078,WA-0002,2024-06-08,Leak Repair,Emergency Repair completed for asset WA-0002,Low,In Progress,PipeTech NZ,15.1,1173.01,1393.21,2566.22,,WA-0002,Leak Repair,Low,In Progress,PipeTech NZ,2024-06-08,,15.1,1173.01,1393.21,2566.22,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00119,WO-00119,WA-0024,2022-09-27,Preventive Maintenance,Leak Repair completed for asset WA-0024,High,In Progress,Bay Utility Services,6.5,3850.15,672.3,4522.45,,WA-0024,Preventive Maintenance,High,In Progress,Bay Utility Services,2022-09-27,,6.5,3850.15,672.3,4522.45,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00131,WO-00131,WA-0002,2022-06-30,Emergency Repair,Pipe Replacement completed for asset WA-0002,Low,Open,Council Internal Crew,9.1,4454.92,1149.17,5604.09,,WA-0002,Emergency Repair,Low,Open,Council Internal Crew,2022-06-30,,9.1,4454.92,1149.17,5604.09,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00139,WO-00139,WA-8888,2022-06-02,Pipe Replacement,Leak Repair completed for asset WA-0061,Medium,Completed,PipeTech NZ,11.8,4176.61,1493.68,5670.29,2022-06-18,WA-8888,Pipe Replacement,Medium,Completed,PipeTech NZ,2022-06-02,2022-06-18,11.8,4176.61,1493.68,5670.29,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00151,WO-00151,WA-0085,2022-01-05,Emergency Repair,Preventive Maintenance completed for asset WA-0085,Low,Completed,Rotorua Water Works,6.3,4371.22,740.63,5111.85,2022-01-12,WA-0085,Emergency Repair,Low,Completed,Rotorua Water Works,2022-01-05,2022-01-12,6.3,4371.22,740.63,5111.85,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00173,WO-00173,WA-0035,2025-11-06,Leak Repair,Leak Repair completed for asset WA-0035,Medium,Open,Bay Utility Services,6.8,2137.49,912.65,3050.14,,WA-0035,Leak Repair,Medium,Open,Bay Utility Services,2025-11-06,,6.8,2137.49,912.65,3050.14,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00185,WO-00185,WA-0085,2024-03-02,Emergency Repair,Inspection completed for asset WA-0085,Medium,Cancelled,Council Internal Crew,15.3,644.47,1752.4,2396.87,2024-03-06,WA-0085,Emergency Repair,Medium,Cancelled,Council Internal Crew,2024-03-02,2024-03-06,15.3,644.47,1752.4,2396.87,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00193,WO-00193,WA-0019,2026-07-04,Emergency Repair,Pump Service completed for asset WA-0019,Low,Completed,Council Internal Crew,5.5,852.63,661.75,1514.38,2026-07-22,WA-0019,Emergency Repair,Low,Completed,Council Internal Crew,2026-07-04,2026-07-22,5.5,852.63,661.75,1514.38,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00195,WO-00195,WA-0024,2022-11-19,Emergency Repair,Emergency Repair completed for asset WA-0024,Medium,Completed,PipeTech NZ,15.6,2342.74,1925.34,4268.08,2022-12-04,WA-0024,Emergency Repair,Medium,Completed,PipeTech NZ,2022-11-19,2022-12-04,15.6,2342.74,1925.34,4268.08,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
